ChannelNumber N(E) W P G(Z,W) Value Energy(MeV) Momentum(MeV/c) N(p)
281.000000 0.000000 2.701067 2.509135 18.257342 0.000000 0.869245 0.869245 0.000000
282.000000 0.000000 2.707121 2.515652 18.240851 0.000000 0.872339 0.872339 0.000000
283.000000 1.000000 2.713174 2.522165 18.224406 0.086337 0.875432 0.875432 1.000000
284.000000 2.000000 2.719229 2.528677 18.207995 0.121882 0.878526 0.878526 2.000000
285.000000 0.000000 2.725282 2.535185 18.191626 0.000000 0.881619 0.881619 0.000000
286.000000 0.000000 2.731335 2.541690 18.175292 0.000000 0.884712 0.884712 0.000000
287.000000 0.000000 2.737389 2.548196 18.158988 0.000000 0.887806 0.887806 0.000000
288.000000 0.000000 2.743442 2.554697 18.142722 0.000000 0.890899 0.890899 0.000000
289.000000 3.000000 2.749497 2.561198 18.126481 0.147962 0.893993 0.893993 3.000000
290.000000 0.000000 2.755550 2.567695 18.110275 0.000000 0.897086 0.897086 0.000000
291.000000 0.000000 2.761603 2.574189 18.094098 0.000000 0.900179 0.900179 0.000000
292.000000 0.000000 2.767658 2.580684 18.077941 0.000000 0.903273 0.903273 0.000000
293.000000 0.000000 2.773710 2.587174 18.061815 0.000000 0.906366 0.906366 0.000000
294.000000 0.000000 2.779765 2.593664 18.045708 0.000000 0.909460 0.909460 0.000000
295.000000 0.000000 2.785818 2.600150 18.029627 0.000000 0.912553 0.912553 0.000000
296.000000 0.000000 2.791871 2.606634 18.013568 0.000000 0.915646 0.915646 0.000000
297.000000 0.000000 2.797926 2.613118 17.997526 0.000000 0.918740 0.918740 0.000000
298.000000 0.000000 2.803978 2.619598 17.981513 0.000000 0.921833 0.921833 0.000000
299.000000 0.000000 2.810033 2.626078 17.965520 0.000000 0.924927 0.924927 0.000000
300.000000 0.000000 2.816086 2.632554 17.949560 0.000000 0.928020 0.928020 0.000000
301.000000 0.000000 2.822139 2.639028 17.933628 0.000000 0.931113 0.931113 0.000000
